brand_name,generic_name,manufacturer_name,product_ndc,route,product_type,rxcui,stock_quantity
Lidocaine,LIDOCAINE,Direct_Rx,72189-499,TOPICAL,HUMAN PRESCRIPTION DRUG,1543069,28
Glipizide,GLIPIZIDE,Bryant Ranch Prepack,72162-2215,ORAL,HUMAN PRESCRIPTION DRUG,310488,88
"PS-2261 Triple Antibiotic, 0.5g","PS-2261 TRIPLE ANTIBIOTIC, 0.5G",ProStat First Aid LLC,58228-2261,TOPICAL,HUMAN OTC DRUG,204602,97
Isopropyl alcohol,ISOPROPYL ALCOHOL,AmerisourceBergen (Good Neighbor Pharmacy) 46122,46122-771,TOPICAL,HUMAN OTC DRUG,808520,0
Medline,"WHITE PETROLATUM, ZINC OXIDE","Medline Industries, LP",53329-153,TOPICAL,HUMAN OTC DRUG,1494207,14
Whitening,MONOFLUOROPHOSPHATE,Target,11673-385,DENTAL,HUMAN OTC DRUG,545626,53
Bacitracin,BACITRACIN,A-S Medication Solutions,50090-0815,TOPICAL,HUMAN OTC DRUG,1648110,35
"PS-2896 Hydrocortisone Cream 1%, 0.9g","PS-2896 HYDROCORTISONE CREAM 1%, 0.9G",ProStat First Aid LLC,58228-2896,TOPICAL,HUMAN OTC DRUG,106258,6
Oxygen,OXYGEN,"Arkansas Welding Supply, Inc.",65603-100,RESPIRATORY (INHALATION),HUMAN PRESCRIPTION DRUG,348831,60
Clear Acne Spot Treatment,ACNE SPOT TREATMENT,Kamedis,50718-0032,TOPICAL,HUMAN OTC DRUG,,34
Medline,WHITE PETROLATUM,"Medline Industries, LP",53329-150,TOPICAL,HUMAN OTC DRUG,204754,74
Gadobutrol,GADOBUTROL,"Fresenius Kabi USA, LLC",65219-281,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,,29
PS-2205 BZK Antiseptic Towelettes,PS-2205 BZK ANTISEPTIC TOWELETTES,ProStat First Aid LLC,58228-2205,TOPICAL,HUMAN OTC DRUG,1038558,25
Atropine sulfate,ATROPINE SULFATE,"HF Acquisition Co LLC, DBA HealthFirst",51662-1627,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1666781,56
Clopidogrel,CLOPIDOGREL BISULFATE,Aurobindo Pharma Limited,65862-357,ORAL,HUMAN PRESCRIPTION DRUG,309362,68
Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,Aurobindo Pharma Limited,65862-770,OPHTHALMIC,HUMAN PRESCRIPTION DRUG,860107,64
Entecavir,ENTECAVIR,Amneal Pharmaceuticals LLC,65162-446,ORAL,HUMAN PRESCRIPTION DRUG,485434,5
MAXALT,RIZATRIPTAN BENZOATE,Organon LLC,78206-142,ORAL,HUMAN PRESCRIPTION DRUG,213322,76
Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,"Unichem Pharmaceuticals (USA), Inc.",29300-355,ORAL,HUMAN PRESCRIPTION DRUG,835603,100
Etodolac,ETODOLAC,"PD-Rx Pharmaceuticals, Inc.",43063-856,ORAL,HUMAN PRESCRIPTION DRUG,197686,63
capecitabine,CAPECITABINE,Dr. Reddy's Laboratories Limited,55111-496,ORAL,HUMAN PRESCRIPTION DRUG,200327,57
Trazodone Hydrochloride,TRAZODONE HYDROCHLORIDE,A-S Medication Solutions,50090-6603,ORAL,HUMAN PRESCRIPTION DRUG,856377,21
MIRABEGRON,MIRABEGRON,Bryant Ranch Prepack,71335-2808,ORAL,HUMAN PRESCRIPTION DRUG,1300801,67
Silver Sulfadiazine,SILVER SULFADIAZINE,Bryant Ranch Prepack,63629-8773,TOPICAL,HUMAN PRESCRIPTION DRUG,106351,68
Sevelamer Carbonate,SEVELAMER CARBONATE,DR. REDDY'S LABORATORIES LIMITED,55111-789,ORAL,HUMAN PRESCRIPTION DRUG,749206,8
Ibuprofen,IBUPROFEN,Aurobindo Pharma Limited,59651-360,ORAL,HUMAN PRESCRIPTION DRUG,197805,38
Vabrinty,LEUPROLIDE ACETATE,"URONOVA PHARMACEUTICALS, INC.",85043-025,SUBCUTANEOUS,HUMAN PRESCRIPTION DRUG,752884,44
Air,AIR,"SYOXSA, Inc.",23647-003,RESPIRATORY (INHALATION),HUMAN PRESCRIPTION DRUG,347123,37
SIMVASTATIN,SIMVASTATIN,"PD-Rx Pharmaceuticals, Inc.",72789-304,ORAL,HUMAN PRESCRIPTION DRUG,198211,28
diltiazem hydrochloride,DILTIAZEM HYDROCHLORIDE,Bryant Ranch Prepack,71335-1897,ORAL,HUMAN PRESCRIPTION DRUG,830795,89
Aspercreme with Lidocaine Dry,LIDOCAINE,"Chattem, Inc.",41167-0583,TOPICAL,HUMAN OTC DRUG,1869797,61
Levothyroxine sodium,LEVOTHYROXINE SODIUM,A-S Medication Solutions,50090-6115,ORAL,HUMAN PRESCRIPTION DRUG,966249,66
SULFAMYLON,MAFENIDE ACETATE,"Rising Pharma Holdings, Inc.",16571-723,TOPICAL,HUMAN PRESCRIPTION DRUG,201185,0
Indomethacin,INDOMETHACIN,"PD-Rx Pharmaceuticals, Inc.",43063-929,ORAL,HUMAN PRESCRIPTION DRUG,197818,82
Capsaicin 0.1 Percent,CAPSAICIN,"Alexso, Inc",50488-1060,TOPICAL,HUMAN OTC DRUG,646333,95
Cortifoam,HYDROCORTISONE ACETATE,Viatris Specialty LLC,0037-6830,TOPICAL,HUMAN PRESCRIPTION DRUG,1545172,40
Vancomycin Hydrochloride,VANCOMYCIN HYDROCHLORIDE,Gland Pharma Limited,68083-143,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1807513,26
Hand Guard High Foaming Antiseptic Hand and Body Wash,CHLOROXYLENOL,"Wechem, Inc.",31507-876,TOPICAL,HUMAN OTC DRUG,413261,49
AZACITIDINE,AZACITIDINE FOR,Pilnova Pharma Inc,83774-102,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,485246,12
Lorazepam,LORAZEPAM,"Preferred Pharmaceuticals, Inc.",68788-7428,ORAL,HUMAN PRESCRIPTION DRUG,197901,95
Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM,Bryant Ranch Prepack,71335-0807,ORAL,HUMAN PRESCRIPTION DRUG,606726,85
Ranolazine,RANOLAZINE,Viona Pharmaceuticals Inc,72578-064,ORAL,HUMAN PRESCRIPTION DRUG,616749,91
Witch Hazel,WITCH HAZEL,"Publix Super Markets, Inc.",56062-822,TOPICAL,HUMAN OTC DRUG,200295,13
ZITUVIMET,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,Zydus Lifesciences Limited,70771-1859,ORAL,HUMAN PRESCRIPTION DRUG,861769,6
CHOLESTYRAMINE LIGHT,CHOLESTYRAMINE LIGHT,"EPIC PHARMA, LLC",42806-269,ORAL,HUMAN PRESCRIPTION DRUG,1801279,91
Sodium Chloride,SODIUM CHLORIDE,ICU Medical Inc.,0990-7972,IRRIGATION,HUMAN PRESCRIPTION DRUG,486515,75
leader Ibuprofen,IBUPROFEN,"Cardinal Health 110, LLC. dba Leader",70000-0264,ORAL,HUMAN OTC DRUG,197803,44
Sleep Aid,DOXYLAMINE SUCCINATE,ARMY AND AIR FORCE EXCHANGE SERVICE,55301-986,ORAL,HUMAN OTC DRUG,1101446,19
Amlodipine Besylate,AMLODIPINE BESYLATE,A-S Medication Solutions,50090-6853,ORAL,HUMAN PRESCRIPTION DRUG,308136,19
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Bryant Ranch Prepack,72162-1236,ORAL,HUMAN PRESCRIPTION DRUG,687043,72
FRESH FEELS HAND SANITIZER MIST OCEAN BREEZE SCENT,ETHYL ALCOHOL,Pearl World Inc.,69933-259,TOPICAL,HUMAN OTC DRUG,1041849,75
EMF Protect and Balance,"ALFALFA, CADMIUM SULPHURATUM, CALCAREA CARBONICA, CUPRUM METALLICUM, FERRUM METALLICUM, FUCUS VESICULOSUS, HYPERICUM PERFORATUM, KALI PHOSPHORICUM, MAGNESIA PHOSPHORICA, MANGANUM METALLICUM, MERCURIUS VIVUS, PLUMBUM METALLICUM, SILICEA, SYMPHYTUM OFFICINALE, TARENTULA HISPANA, X-RAY, YTTERBIUM OXIDE","Deseret Biologicals, Inc.",43742-2247,ORAL,HUMAN OTC DRUG,,14
Symmetry Foaming Hand Sanitizer-Fragrance Free with Aloe and Vitamin E,ALCOHOL,"Buckeye International, Inc.",30805-009,TOPICAL,HUMAN OTC DRUG,616763,64
Motion Sickness Relief,DIMENHYDRINATE,"Chain Drug Marketing Association, Inc.",83324-032,ORAL,HUMAN OTC DRUG,198603,75
Anestenka,BENZOCAINE,"Menper Distributors, Inc",53145-301,TOPICAL,HUMAN OTC DRUG,,99
levothyroxine sodium,LEVOTHYROXINE SODIUM,Proficient Rx LP,71205-353,ORAL,HUMAN PRESCRIPTION DRUG,966222,85
Lansoprazole,LANSOPRAZOLE,Xiromed LLC,70700-262,ORAL,HUMAN PRESCRIPTION DRUG,311277,57
Premier Value Chewable Antacid Assorted Fruit,ANTACID TABLETS,"Chain Drug Consortium, LLC",68016-652,ORAL,HUMAN OTC DRUG,308907,54
PRED FORTE,PREDNISOLONE ACETATE,"Allergan, Inc.",11980-180,OPHTHALMIC,HUMAN PRESCRIPTION DRUG,1376336,83
Zoledronic acid,ZOLEDRONIC ACID,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-170,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,351114,78
Pseudoephedrine hydrochloride,PSEUDOEPHEDRINE HYDROCHLORIDE,The Kroger Company,30142-967,ORAL,HUMAN OTC DRUG,1049154,100
Gas Relief Ultra Strength,SIMETHICONE,Walgreens,0363-0833,ORAL,HUMAN OTC DRUG,252294,33
BOTANICAL SOOTHING SPF-30,"OCTINOXATE, OCTISALATE, ZINC OXIDE",CONTROL CORRECTIVE SKINCARE INC,70764-201,TOPICAL,HUMAN OTC DRUG,,14
Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM,A-S Medication Solutions,50090-6198,ORAL,HUMAN PRESCRIPTION DRUG,606726,15
Justice Berry Scented Anti-bacterial Hand Sanitizer BFF,ALCOHOL,"Tween Brands, Inc.",60637-228,TOPICAL,HUMAN OTC DRUG,581660,45
Equate Beauty Daily Moisturizer SPF-30 Sunscreen,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, AND OXYBENZONE","Wal-Mart Stores, Inc.",49035-495,TOPICAL,HUMAN OTC DRUG,,44
Tetracycline Hydrochloride,TETRACYCLINE HYDROCHLORIDE,"Breckenridge Pharmaceutical, Inc.",51991-906,ORAL,HUMAN PRESCRIPTION DRUG,198250,39
Eptifibatide,EPTIFIBATIDE,Eugia US LLC,55150-218,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,200349,93
Atorvastatin calcium,ATORVASTATIN CALCIUM,Bryant Ranch Prepack,71335-1336,ORAL,HUMAN PRESCRIPTION DRUG,259255,19
Ondansetron Hydrochloride,ONDANSETRON HYDROCHLORIDE,ST. MARY'S MEDICAL PARK PHARMACY,60760-658,ORAL,HUMAN PRESCRIPTION DRUG,312086,77
CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,ST. MARY'S MEDICAL PARK PHARMACY,60760-766,ORAL,HUMAN PRESCRIPTION DRUG,828320,54
Valsartan,VALSARTAN,Archis Pharma LLC,72819-181,ORAL,HUMAN PRESCRIPTION DRUG,349199,50
Lisinopril and Hydrochlorothiazide,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS,ST. MARY'S MEDICAL PARK PHARMACY,60760-586,ORAL,HUMAN PRESCRIPTION DRUG,197885,49
Allopurinol,ALLOPURINOL,ST. MARY'S MEDICAL PARK PHARMACY,60760-656,ORAL,HUMAN PRESCRIPTION DRUG,197319,6
doxycycline,DOXYCYCLINE,ST. MARY'S MEDICAL PARK PHARMACY,60760-721,ORAL,HUMAN PRESCRIPTION DRUG,1649988,17
Dukal Sterile Alcohol Prep Pad,ISOPROPYL ALCOHOL,Dukal LLC,65517-0002,TOPICAL,HUMAN OTC DRUG,797544,91
Magsoothium CBD Body,MENTHOL,"Ubu/Elements, Inc.",83262-004,TOPICAL,HUMAN OTC DRUG,,49
Dollar General,ISOPROPYL ALCOHOL,Dollar General Corporation,75712-805,TOPICAL,HUMAN OTC DRUG,797544,24
Re-Lieved Lidocaine Patch,LIDOCAINE PATCH 4%,Transfer Technology,71662-000,TOPICAL,HUMAN OTC DRUG,1737778,72
Vital Immune Booster,"APIS MELLIFICA, BORAX, CARDUUS MARIANUS, CISTUS CANADENSIS, ECHINACEA (ANGUSTIFOLIA), GALIUM APARINE, HEPAR SUIS, HEPAR SULPHURIS CALCAREUM, HUMAN GROWTH HORMONE, HYPOPHYSIS SUIS, NITRICUM ACIDUM, PHYTOLACCA DECANDRA, SULPHUR, THUJA OCCIDENTALIS, THYMUS SUIS","Liddell Laboratories, Inc.",50845-0283,ORAL,HUMAN OTC DRUG,,31
Coffea Cruda,COFFEA CRUDA,OHM PHARMA INC.,66096-822,ORAL,HUMAN OTC DRUG,,98
AZSTARYS,SERDEXMETHYLPHENIDATE AND DEXMETHYLPHENIDATE,"Corium, LLC.",65038-286,ORAL,HUMAN PRESCRIPTION DRUG,2562186,48
Hair-X Hair Loss Relief,"CADMIUM SULFATE, GRAPHITE, PHOSPHORIC ACID, SILICON DIOXIDE, SELENIUM, THALLIUM, USTILAGO MAYDIS",Homeocare Laboratories,61727-319,SUBLINGUAL,HUMAN OTC DRUG,,2
TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,Proficient Rx LP,71205-708,ORAL,HUMAN PRESCRIPTION DRUG,833711,49
Concentrated ibuprofen infants,IBUPROFEN,"Wal-Mart Stores, Inc.",49035-635,ORAL,HUMAN OTC DRUG,204442,21
UniShield TRIPLE ANTIBIOTIC,"BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE",Unishield,49314-0006,TOPICAL,HUMAN OTC DRUG,204602,11
Glimepiride,GLIMEPIRIDE,"Aphena Pharma Solutions - Tennessee, LLC",71610-236,ORAL,HUMAN PRESCRIPTION DRUG,199247,94
Trimethobenzamide Hydrochloride,TRIMETHOBENZAMIDE HYDROCHLORIDE,Bryant Ranch Prepack,71335-0800,ORAL,HUMAN PRESCRIPTION DRUG,860771,59
Tamsulosin Hydrochloride,TAMSULOSIN HYDROCHLORIDE,A-S Medication Solutions,50090-6700,ORAL,HUMAN PRESCRIPTION DRUG,863669,98
Biofreeze,MENTHOL,RB Health (US) LLC,59316-833,TOPICAL,HUMAN OTC DRUG,1489073,14
Haloperidol,HALOPERIDOL,Lifestar Pharma LLC,70756-001,ORAL,HUMAN PRESCRIPTION DRUG,197754,13
Biofreeze Professional,"MENTHOL, UNSPECIFIED FORM",RB Health (US) LLC,59316-834,TOPICAL,HUMAN OTC DRUG,1489073,30
up and up naproxen sodium,NAPROXEN SODIUM,Target Corporation,11673-368,ORAL,HUMAN OTC DRUG,849574,44
Oseltamivir Phosphate,OSELTAMIVIR PHOSPHATE,"Asclemed USA, Inc.",76420-289,ORAL,HUMAN PRESCRIPTION DRUG,312122,97
glo SKIN BEAUTY Oil-Free Tinted Primer SPF 30,GLO SKIN BEAUTY OIL-FREE TINTED PRIMER SPF 30,Hayden Caleel LLC,60541-6000,TOPICAL,HUMAN OTC DRUG,,80
MediChoice Povidone-Iodine Prep Pad,POVIDONE-IODINE,"O&M HALYARD, INC.",39892-0808,TOPICAL,HUMAN OTC DRUG,797730,87
Naltrexone Hydrochloride,NALTREXONE HYDROCHLORIDE,A-S Medication Solutions,50090-4925,ORAL,HUMAN PRESCRIPTION DRUG,1483744,78
ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,Bryant Ranch Prepack,71335-0727,ORAL,HUMAN PRESCRIPTION DRUG,312846,59
Extra Strength pain relief,ACETAMINOPHEN,Rite Aid Corporation,11822-5311,ORAL,HUMAN OTC DRUG,198440,44
Ketoconazole,KETOCONAZOLE,"ANI Pharmaceuticals, Inc.",70954-662,TOPICAL,HUMAN PRESCRIPTION DRUG,106336,54
Fenofibrate,FENOFIBRATE,A-S Medication Solutions,50090-5854,ORAL,HUMAN PRESCRIPTION DRUG,349287,28
Guanfacine,GAUNFACINE,A2A Integrated Pharmaceuticals,73141-018,ORAL,HUMAN PRESCRIPTION DRUG,197745,27
Guaifenesin,GUAIFENESIN,SAM'S WEST INC,68196-405,ORAL,HUMAN OTC DRUG,310621,0
ELAHERE,MIRVETUXIMAB SORAVTANSINE,"ImmunoGen, Inc.",72903-853,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,2621553,27
Enulose,LACTULOSE,"Actavis Pharma, Inc.",45963-438,ORAL,HUMAN PRESCRIPTION DRUG,391937,88
Ursodiol,URSODIOL,AvKARE,42291-923,ORAL,HUMAN PRESCRIPTION DRUG,858747,37
Lupron Depot,LEUPROLIDE ACETATE,AbbVie Inc.,0074-3641,,HUMAN PRESCRIPTION DRUG,797544,30
erythromycin,ERYTHROMYCIN,Bryant Ranch Prepack,72162-2075,TOPICAL,HUMAN PRESCRIPTION DRUG,318202,67
Triple Antibiotic,"BACITRACIN ZINC, NEOMYCIN SULFATE , POLYMYXIN B SULFATE.",TRIFECTA PHARMACEUTICALS USA LLC,69396-125,TOPICAL,HUMAN OTC DRUG,204602,66
Avagard D,ALCOHOL,Solventum US LLC,48878-0231,TOPICAL,HUMAN OTC DRUG,,65
MILK OF MAGNESIA,MAGNESIUM HYDROXIDE,STRATEGIC SOURCING SERVICES LLC,70677-1073,ORAL,HUMAN OTC DRUG,253017,24
Docetaxel,DOCETAXEL ANHYDROUS,"Hospira, Inc.",0409-0016,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1093280,30
BACLOFEN,BACLOFEN,REMEDYREPACK INC.,70518-4530,ORAL,HUMAN PRESCRIPTION DRUG,197392,92
Clonidine Hydrochloride,CLONIDINE HYDROCHLORIDE,REMEDYREPACK INC.,70518-4342,ORAL,HUMAN PRESCRIPTION DRUG,884173,70
SilvaPlex Throat,ARGENTUM METALICUM,AG Essence,72363-010,TOPICAL,HUMAN OTC DRUG,,79
Note Mattifying Extreme Wear Foundation,OCTINOXATE,ALTONA COSMETICS TECHNOLOGY SANAYI VE TICARET ANONIM SIRKETI,70474-000,TOPICAL,HUMAN OTC DRUG,,73
hair regrowth treatment,MINOXIDIL,Rite Aid Corporation,11822-1260,TOPICAL,HUMAN OTC DRUG,311724,39
Callington Anti-Bacterial Hand Sanitizer Wipe,BENZALKONIUM CHLORIDE,"JIANGMEN SHUIZIRUN SANITARY ARTICLES CO., LTD.",71734-117,TOPICAL,HUMAN OTC DRUG,2553300,57
Decitabine,DECITABINE,BluePoint Laboratories,68001-618,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,636631,87
H.E.B. Solutions Sunscreen,SPORT SPF 70 LOTION,H.E.B,37808-954,TOPICAL,HUMAN OTC DRUG,,30
tadalafil,TADALAFIL,A-S Medication Solutions,50090-7315,ORAL,HUMAN PRESCRIPTION DRUG,403957,59
Stay Awake,CAFFEINE,Kroger Company,30142-726,ORAL,HUMAN OTC DRUG,198520,46
MaxSaver Sanitizing Wipes,BENZALKONIUM CHLORIDE,Innocore Sales & Marketing Inc,70924-005,CUTANEOUS,HUMAN OTC DRUG,1038558,12
MaxSaver Sanitizing Wipes,BENZALKONIUM CHLORIDE,"ERC ACQUISITION, INC.",71293-021,CUTANEOUS,HUMAN OTC DRUG,1038558,1
AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN AND CLAVULANATE POTASSIUM,A-S Medication Solutions,50090-6324,ORAL,HUMAN PRESCRIPTION DRUG,562508,92
Amitriptyline Hydrochloride,AMITRIPTYLINE HYDROCHLORIDE,A-S Medication Solutions,50090-6179,ORAL,HUMAN PRESCRIPTION DRUG,856783,38
Clonidine hydrochloride,CLONIDINE HYDROCHLORIDE,"Aphena Pharma Solutions - Tennessee, LLC",71610-449,ORAL,HUMAN PRESCRIPTION DRUG,884189,43
Replenix Gly-Sal 10-2 cleanser,SALICYLIC ACID,"Topiderm, Inc.",51326-928,TOPICAL,HUMAN OTC DRUG,562600,53
NITROUS OXIDE,NITROUS OXIDE,"Airtec Gases, LLC",24312-003,RESPIRATORY (INHALATION),HUMAN PRESCRIPTION DRUG,312022,99
Topcare Infants Ibuprofen,IBUPROFEN,Topco Associates LLC,36800-057,ORAL,HUMAN OTC DRUG,204442,17
Cough and Bronchial Nighttime Syrup,"ACONITUM NAPELLUS, BRYONIA ROOT, CALCIUM CATION, SPONGIA OFFICINALIS SKELETON, ROASTED, TIN, MEDICAGO SATIVA LEAF, OAT, ARABICA COFFEE BEAN",Schwabe Mexico S.A. DE C.V.,68466-1009,ORAL,HUMAN OTC DRUG,,91
Gablofen,BACLOFEN INJECTION,Piramal Critical Care Inc,66794-151,INTRATHECAL,HUMAN PRESCRIPTION DRUG,308517,5
Axe,ESSENCE BLACK PEPPER AND CEDARWOOD SCENT 48H FRESH AND DRY ANTIPERSPIRANT,Conopco Inc. d/b/a/ Unilever,64942-2122,TOPICAL,HUMAN OTC DRUG,,68
Axe,BLACK FROZEN PEAR AND CEDARWOOD SCENT 48H FRESH AND DRY ANTIPERSPIRANT,Conopco Inc. d/b/a/ Unilever,64942-2123,TOPICAL,HUMAN OTC DRUG,,73
Axe,DARK TEMPTATION DARK CHOCOLATE SCENT 48H FRESH AND DRY ANTIPERSPIRANT,Conopco Inc. d/b/a/ Unilever,64942-2124,TOPICAL,HUMAN OTC DRUG,,35
Axe,PHOENIX CRUSHED MINT AND ROSEMARY 48H FRESH AND DRY ANTIPERSPIRANT,Conopco Inc. d/b/a/ Unilever,64942-2125,TOPICAL,HUMAN OTC DRUG,,78
SilvaPlex Throat,ARGENTUM METALICUM,AG Essence,72363-011,TOPICAL,HUMAN OTC DRUG,,96
Nufabrx Medicine Infused Socks,CAPSAICIN,Nufabrx LLC,72490-036,TOPICAL,HUMAN OTC DRUG,,94
Balmere Mineral Sunscreen Moisturizer Primer,ZINC OXIDE,Balmere,83241-1039,TOPICAL,HUMAN OTC DRUG,,57
Colorescience Total Protection No Show Mineral Sunscreen,ZINC OXIDE,Colorescience,68078-066,TOPICAL,HUMAN OTC DRUG,,95
BENZEDREX,PROPYLHEXEDRINE,BF ASCHER AND CO INC,0225-0611,NASAL,HUMAN OTC DRUG,,63
Rapidol Aspirin,ASPIRIN,Pharmadel LLC,55758-363,ORAL,HUMAN OTC DRUG,212033,86
Vista Gonio Eye Lubricant,HYPROMELLOSE OPHTHALMIC SOLUTION,Red Wedding LLC,77790-022,OPHTHALMIC,HUMAN OTC DRUG,,56
MEB Gluco-Vitality Patch,MEB GLUCO-VITALITY PATCH,"Kadesh Incoporation Co,Ltd",81488-010,TRANSDERMAL,HUMAN OTC DRUG,,82
DCH Nerve Pain Relief,"LIDOCAINE 4%, MENTHOL 1%","Derma Care Research Labs, LLC",72839-223,TOPICAL,HUMAN OTC DRUG,1595448,62
CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,"NuCare Pharmaceuticals,Inc.",68071-3462,ORAL,HUMAN PRESCRIPTION DRUG,828348,79
"Travoprost Ophthalmic Solution, 0.004%","TRAVOPROST OPHTHALMIC SOLUTION, 0.004%",Mylan Pharmaceuticals Inc.,0378-9651,OPHTHALMIC,HUMAN PRESCRIPTION DRUG,,5
Nitrogen Oxygen Mix,NITROGEN OXYGEN MIX,"Airgas Usa, LLC",11054-152,RESPIRATORY (INHALATION),HUMAN PRESCRIPTION DRUG,348544,58
DCH Cooling Pain Relief,MENTHOL 10.5%,"Derma Care Research Labs, LLC",72839-639,TOPICAL,HUMAN OTC DRUG,1489073,48
Cefazolin,CEFAZOLIN,"WG Critical Care, LLC",44567-120,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,1665050,12
DCH Pain Relief,LIDOCAINE HCL 4%,"Derma Care Research Labs, LLC",72839-361,TOPICAL,HUMAN OTC DRUG,1010895,58
Norgestimate and Ethinyl Estradiol,NORGESTIMATE AND ETHINYL ESTRADIOL,"PD-Rx Pharmaceuticals, Inc.",72789-434,,HUMAN PRESCRIPTION DRUG,240128,100
Metoprolol Tartrate,METOPROLOL TARTRATE,"PD-Rx Pharmaceuticals, Inc.",43063-927,ORAL,HUMAN PRESCRIPTION DRUG,866924,9
Ranitidine,RANITIDINE,Dr. Reddy's Laboratories Limited,55111-404,ORAL,HUMAN OTC DRUG,198191,95
Remedy Barrier Cream Cloths Fragrance Free,DIMETHICONE,"Medline Industries, LP",53329-074,TOPICAL,HUMAN OTC DRUG,1534833,96
Oseltamivir Phosphate,OSELTAMIVIR PHOSPHATE,"Lannett Company, Inc.",0527-4591,ORAL,HUMAN PRESCRIPTION DRUG,312122,97
CELECOXIB,CELECOXIB,A-S Medication Solutions,50090-4789,ORAL,HUMAN PRESCRIPTION DRUG,205323,77
Finasteride,FINASTERIDE,"Camber Pharmaceuticals, Inc.",31722-526,ORAL,HUMAN PRESCRIPTION DRUG,200172,19
DOXYCYCLINE,DOXYCYCLINE,Proficient Rx LP,63187-672,ORAL,HUMAN PRESCRIPTION DRUG,1649990,25
Clean Apple,PYRITHIONE ZINC,The Kroger Co.,30142-788,TOPICAL,HUMAN OTC DRUG,209884,18
ACETAMINOPHEN,ACETAMINOPHEN,Granules India Limited,62207-183,ORAL,HUMAN OTC DRUG,1148399,95
Childrens Pain Relief,ACETAMINOPHEN,Aurohealth LLC,58602-765,ORAL,HUMAN OTC DRUG,313820,14
SHISEIDO ULTIMATE SUN PROTECTOR,"AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE",SHISEIDO AMERICAS CORPORATION,58411-888,TOPICAL,HUMAN OTC DRUG,,28
DCH Cooling Pain Relief,MENTHOL 4%,"Derma Care Research Labs, LLC",72839-297,TOPICAL,HUMAN OTC DRUG,415974,8
DCH Scar,ALLANTOIN 0.5%,"Derma Care Research Labs, LLC",72839-097,TOPICAL,HUMAN OTC DRUG,1442087,81
SILDENAFIL CITRATE,SILDENAFIL CITRATE,"PD-Rx Pharmaceuticals, Inc.",72789-404,ORAL,HUMAN PRESCRIPTION DRUG,314228,61
sunscreen,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Old East Main Co.,55910-983,TOPICAL,HUMAN OTC DRUG,,53
Dove,ADVANCED PEACH AND CHAMOMILE TEA DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,"Conopco, Inc. d/b/a Unilever",64942-2141,TOPICAL,HUMAN OTC DRUG,,60
DCH Rapid Relief Hemorrhoidal,"LIDOCAINE 5%, PHENYLEPHRINE HYDROCHLORIDE 0.25%",Derma Care Research Labs,72839-263,TOPICAL,HUMAN OTC DRUG,2590656,48
Aleve,NAPROXEN SODIUM,Bayer HealthCare LLC.,0280-6010,ORAL,HUMAN OTC DRUG,849574,98
Doxepin hydrochloride,DOXEPIN HYDROCHLORIDE,"Golden State Medical Supply, Inc.",51407-811,ORAL,HUMAN PRESCRIPTION DRUG,966787,13
Fexofenadine HCL,FEXOFENADINE HCL,CVS,51316-767,ORAL,HUMAN OTC DRUG,997420,62
DCH Pain Relief,LIDOCAINE 4%,"Derma Care Research Labs, LLC",72839-226,TOPICAL,HUMAN OTC DRUG,1869797,23
Mary Kay TimeWise Daytime Defender Sunscreen Broad Spectrum SPF 30,AVOBENZONE/OCTISALATE/OCTOCRYLENE,Mary Kay Inc.,51531-7385,TOPICAL,HUMAN OTC DRUG,,48
